paper_id,author_id
0704.0049,Mikkel Obro
0704.0031,V. M. Biryukov
0710.4010,Martin Rypdal
0710.4010,Kristoffer Rypdal
0704.0003,Hongjun Pan
0710.0745,Marie-Therese Boyer-Xambeu
0710.0745,Ghislain Deleplace
0710.0745,Patrice Gaubert
0710.0745,Lucien Gillard
0710.0745,Madalina Olteanu
0705.0700,Raydonal Ospina
0705.0700,Silvia L. P. Ferrari
0704.1390,Azam Gholami
0704.1390,Martin Falcke
0704.1390,Erwin Frey
0704.0634,Mark Bathe
1709.06074,Houssem Sifaou
1709.06074,Ki-Hong Park
1709.06074,Abla Kammoun
1709.06074,Mohamed-Slim Alouini
0910.2465,Elchanan Mossel
0910.2465,Omer Tamuz
1707.09577,Sujit Kumar Sahoo
1707.09577,Dongliang Tang
1707.09577,Cuong Dang
1201.0220,Alexandre Belloni
1201.0220,Victor Chernozhukov
1201.0220,Christian Hansen
0704.0025,A. S. Mishchenko
0704.0025,N. Nagaosa
0802.0223,K. Triantafyllopoulos
0704.0023,M. A. Loukitcheva
0704.0023,S. K. Solanki
0704.0023,S. White
0704.0357,Gergely J Szollosi
0704.0357,Imre Derenyi
0804.2441,Donatello W. Materassi
0804.2441,Giacomo W. Innocenti
1308.0400,Tianyao Huang
1308.0400,Yimin Liu
1308.0400,Huadong Meng
1308.0400,Xiqin Wang
0704.0012,Dohoon Choi
0705.0569,Rodolphe Thiebaut
0705.0569,Helene Jacqmin-Gadda
